0:0:0:0:0:0:0:1 - - [18/Nov/2020:15:55:09 +0900] "GET /portfolio/board/write.jsp HTTP/1.1" 200 920
0:0:0:0:0:0:0:1 - - [18/Nov/2020:15:55:10 +0900] "GET /portfolio/board/list.do HTTP/1.1" 200 1508
0:0:0:0:0:0:0:1 - - [18/Nov/2020:15:55:12 +0900] "GET /portfolio/board/write.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Nov/2020:15:55:12 +0900] "GET /portfolio/board/write.jsp HTTP/1.1" 200 920
0:0:0:0:0:0:0:1 - - [18/Nov/2020:15:55:16 +0900] "GET /portfolio/board/list.do HTTP/1.1" 200 1508
0:0:0:0:0:0:0:1 - - [18/Nov/2020:15:55:17 +0900] "GET /portfolio/board/view.do?no=24&id=kudam HTTP/1.1" 200 1178
0:0:0:0:0:0:0:1 - - [18/Nov/2020:15:55:19 +0900] "GET /portfolio/board/list.do HTTP/1.1" 200 1508
0:0:0:0:0:0:0:1 - - [18/Nov/2020:15:55:22 +0900] "GET /portfolio/board/write.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Nov/2020:15:55:22 +0900] "GET /portfolio/board/write.jsp HTTP/1.1" 200 920
0:0:0:0:0:0:0:1 - - [18/Nov/2020:15:55:36 +0900] "POST /portfolio/board/writeOK.do HTTP/1.1" 302 -
